ResponseId,CE_ChoiceTask1_1,CE_ChoiceTask2_1,CE_ChoiceTask3_1,CE_ChoiceTask4_1,CE_ChoiceTask5_1,CE_ChoiceTask6_1,CE_ChoiceTask7_1,CE_ChoiceTask8_1,CE_ChoiceTask9_1,CE_ChoiceTask10_1,CE_ChoiceTask11_1,CE_ChoiceTask12_1,block
1,,,,,3,3,3,3,,,,,2
2,3,3,1,3,,,,,,,,,1
3,,,,,,,,,3,3,3,1,3
4,,,,,3,3,3,3,,,,,2
5,3,3,3,1,,,,,,,,,1
6,3,3,3,1,,,,,,,,,1
7,,,,,,,,,1,1,3,3,3
8,,,,,2,3,3,2,,,,,2
9,1,3,2,2,,,,,,,,,1
10,,,,,3,3,2,3,,,,,2
11,,,,,,,,,2,3,3,3,3
12,3,3,3,3,,,,,,,,,1
13,,,,,,,,,1,1,2,1,3
14,,,,,2,2,2,1,,,,,2
15,1,3,3,1,,,,,,,,,1
16,,,,,2,2,2,2,,,,,2
17,,,,,,,,,2,1,2,1,3
18,,,,,,,,,2,1,2,1,3
19,,,,,2,2,2,2,,,,,2
20,2,2,3,2,,,,,,,,,1
21,,,,,2,3,2,2,,,,,2
22,,,,,,,,,1,1,2,1,3
23,,,,,1,2,2,2,,,,,2
24,,,,,,,,,2,2,2,1,3
25,3,3,3,3,,,,,,,,,1
26,1,,1,3,3,,,,,,,,1
27,,,,,3,3,3,3,,,,,2
28,,,,,,,,,3,3,3,3,3
29,,,,,3,3,3,3,,,,,2
30,,,,,,,,,3,3,3,3,3
31,2,2,1,3,,,,,,,,,1
32,,,,,3,3,3,2,,,,,2
33,,,,,,,,,1,1,2,1,3
34,1,3,2,2,,,,,,,,,1
35,,,,,,,,,3,3,3,3,3
36,,,,,,,,,2,1,3,3,1
37,,,,,3,3,2,2,,,,,2
38,3,3,3,3,,,,,,,,,1
39,,,,,,,,,2,3,3,3,3
40,,,,,3,2,3,2,,,,,2
41,3,2,3,3,,,,,,,,,1
42,,,,,,,,,3,1,3,2,3
43,,,,,3,3,3,2,,,,,2
44,,,,,2,3,2,2,,,,,2
45,1,2,1,2,,,,,,,,,1
46,,,,,,,,,1,3,3,3,3
47,2,2,2,2,,,,,,,,,1
48,,,,,3,3,2,2,,,,,2
49,,,,,,,,,1,1,2,1,3
50,1,2,2,2,,,,,,,,,1
51,,,,,,,,,1,1,2,2,3
52,,,,,2,1,2,2,,,,,2
53,,,,,,,,,1,2,2,1,3
54,,,,,1,2,2,1,,,,,2
55,2,2,1,1,,,,,,,,,1
56,,,,,2,1,2,1,,,,,2
57,,,,,,,,,2,3,3,3,3
59,3,2,1,2,,,,,,,,,1
60,,,,,2,2,3,3,,,,,2
61,,,,,,,,,1,1,3,1,3
62,,,,,2,3,2,3,,,,,2
63,1,2,1,2,,,,,,,,,1
64,,,,,,,,,3,3,3,3,3
65,3,3,3,3,,,,,,,,,1
66,,,,,3,3,3,3,,,,,2
67,,,,,,,,,2,2,2,2,3
68,2,2,2,2,,,,,,,,,1
69,,,,,3,3,3,3,,,,,2
70,,,,,,,,,3,1,3,1,3
71,,,,,3,3,3,3,,,,,2
72,,,,,,,,,2,2,3,3,3
73,1,3,3,3,,,,,,,,,1
74,3,2,3,1,,,,,,,,,1
76,,,,,,,,,3,3,3,3,3
77,,,,,2,2,2,2,,,,,2
78,3,3,3,3,,,,,,,,,1
79,,,,,,,,,3,3,3,3,3
80,,,,,2,3,2,3,,,,,2
81,3,3,3,3,,,,,,,,,1
82,,,,,,,,,3,3,3,3,3
83,,,,,,,,,3,3,3,3,3
84,2,2,2,2,,,,,,,,,1
85,,,,,3,3,3,3,,,,,2
86,,,,,,,,,3,3,3,3,3
87,2,2,2,1,,,,,,,,,1
88,,,,,3,3,3,3,,,,,2
89,,,,,3,3,3,3,,,,,2
90,3,3,3,3,,,,,,,,,1
91,,,,,,,,,3,3,3,3,3
92,,,,,,,,,2,1,2,1,3
93,1,2,1,2,,,,,,,,,1
94,,,,,3,3,2,2,,,,,2
95,,,,,2,2,2,2,,,,,2
96,3,3,3,3,,,,,,,,,1
97,,,,,,,,,3,3,3,3,3
98,3,3,2,3,,,,,,,,,1
99,,,,,,,,,2,1,3,3,3
100,,,,,3,3,3,3,,,,,2
